rep_id,year,quarter,total_deals,closed_won,total_revenue,avg_win_rate
EMP111,2024,Q1,18,7,29218.0,42.25
EMP111,2024,Q2,27,9,36135.0,33.8
EMP111,2024,Q3,31,9,37044.0,30.82
EMP111,2024,Q4,38,9,37350.0,23.93
EMP111,2025,Q1,20,7,30604.0,38.42
EMP111,2025,Q2,24,8,28328.0,37.29
EMP111,2025,Q3,32,9,31644.0,30.27
EMP111,2025,Q4,35,8,31752.0,22.98
EMP222,2024,Q1,20,7,30716.0,38.89
EMP222,2024,Q2,24,8,29720.0,36.91
EMP222,2024,Q3,28,8,32776.0,31.02
EMP222,2024,Q4,33,7,31143.0,23.5
EMP222,2025,Q1,23,8,33552.0,37.09
EMP222,2025,Q2,25,8,29904.0,33.82
EMP222,2025,Q3,30,8,29600.0,28.02
EMP222,2025,Q4,34,8,32904.0,23.81
EMP333,2024,Q1,18,7,31409.0,42.21
EMP333,2024,Q2,23,7,25270.0,33.89
EMP333,2024,Q3,33,10,42080.0,31.51
EMP333,2024,Q4,37,9,35874.0,26.23
EMP333,2025,Q1,18,7,25011.0,42.03
EMP333,2025,Q2,24,8,29592.0,37.4
EMP333,2025,Q3,32,9,36432.0,29.06
EMP333,2025,Q4,33,8,31040.0,25.29
EMP444,2024,Q1,23,8,28048.0,38.5
EMP444,2024,Q2,28,9,39348.0,35.32
EMP444,2024,Q3,28,7,27706.0,27.34
EMP444,2024,Q4,38,9,40338.0,24.66
EMP444,2025,Q1,21,8,30616.0,39.87
EMP444,2025,Q2,24,8,32336.0,37.38
EMP444,2025,Q3,31,9,39870.0,31.42
EMP444,2025,Q4,35,9,35541.0,26.82
EMP555,2024,Q1,19,7,25872.0,41.4
EMP555,2024,Q2,26,9,32175.0,34.68
EMP555,2024,Q3,31,8,33624.0,28.4
EMP555,2024,Q4,38,8,32208.0,22.12
EMP555,2025,Q1,21,8,31736.0,41.68
EMP555,2025,Q2,24,8,30576.0,36.02
EMP555,2025,Q3,33,9,32463.0,29.77
EMP555,2025,Q4,34,9,40446.0,26.61
EMP666,2024,Q1,19,7,17178.0,41.29
EMP666,2024,Q2,24,9,15120.0,37.74
EMP666,2024,Q3,27,8,18040.0,30.13
EMP666,2024,Q4,33,7,16352.0,22.94
EMP666,2025,Q1,20,8,17944.0,41.94
EMP666,2025,Q2,28,9,13698.0,35.09
EMP666,2025,Q3,32,9,19404.0,28.33
EMP666,2025,Q4,34,7,10542.0,22.85
EMP777,2024,Q1,22,9,13860.0,42.82
