RepID,Quarter,TotalDeals,ClosedWon,TotalRevenue,AvgWinRate
EMP111,Q1,20,8,32000,40.0
EMP111,Q2,25,8,32000,35.0
EMP111,Q3,30,9,36000,30.0
EMP111,Q4,35,8,32000,25.0
EMP222,Q1,20,8,32000,40.0
EMP222,Q2,25,8,32000,35.0
EMP222,Q3,30,9,36000,30.0
EMP222,Q4,35,8,32000,25.0
EMP333,Q1,20,8,32000,40.0
EMP333,Q2,25,8,32000,35.0
EMP333,Q3,30,9,36000,30.0
EMP333,Q4,35,8,32000,25.0
EMP444,Q1,20,8,32000,40.0
EMP444,Q2,25,8,32000,35.0
EMP444,Q3,30,9,36000,30.0
EMP444,Q4,35,8,32000,25.0
EMP555,Q1,20,8,32000,40.0
EMP555,Q2,25,8,32000,35.0
EMP555,Q3,30,9,36000,30.0
EMP555,Q4,35,8,32000,25.0
EMP666,Q1,20,8,16000,40.0
EMP666,Q2,25,8,16000,35.0
EMP666,Q3,30,9,18000,30.0
EMP666,Q4,35,8,16000,25.0
EMP777,Q1,20,8,16000,40.0
EMP777,Q2,25,8,16000,35.0
EMP777,Q3,30,9,18000,30.0
EMP777,Q4,35,8,16000,25.0
EMPxyz,Q1,20,8,16000,40.0
EMPxyz,Q2,25,8,16000,35.0
EMPxyz,Q3,30,9,18000,30.0
EMPxyz,Q4,35,8,16000,25.0
